tweet_id,created_at,geo_lat,geo_long,text,user_id
395278935753097217,2013-10-29 20:00:16,25.91504478,-80.32715026,Finally basketball season starts today ....#HeatNation,211303234
395279164648869888,2013-10-29 20:01:11,39.82833245,-84.87332629,Hope Y'all Suckasssss Ready For The Heat. 😎🏀🔥 #HeatNation #TwoYearChamps,85903521
395279177126932480,2013-10-29 20:01:14,41.8225615,-87.880612,Lets see how many times Lebitch cries tonite? #BullsVsHeat,434605730
395279184924119040,2013-10-29 20:01:16,42.3370701,-87.8525604,Why is time going by so slow I needs to be 7 already #BullsNation,323020752
395279247494754304,2013-10-29 20:01:31,47.26845828,-122.14490611,Tip-off tonight a lot of good games to open the season. #BullsVsHeat #BullsNation #ChiTown  @BucketsForEric,54642272
395279429213368320,2013-10-29 20:02:14,39.066517,-77.17803969,Can't wait tonight! #HeatNation,1064646852
395279457763606528,2013-10-29 20:02:21,30.6822141,-88.13527106,What the hell is a #HeatNation,543737845
395279497919885312,2013-10-29 20:02:30,39.65551996,-79.92735663,#HEATGANG 🔥🏀🔥🏀,229982494
395279572868272128,2013-10-29 20:02:48,40.70802195,-73.95448351,Where do .@chicagobulls fans gather to watch in NYC??! #nba #DRose  #BullsVsHeat,89950966
395279687070789632,2013-10-29 20:03:16,26.20814571,-80.15748013,She said she #Heat ready! 😍🔥🔥🏀🏀 @ HeatNation🔥🔥🔥🏀 http://t.co/avqr1aofIu,115435988
395279696855711744,2013-10-29 20:03:18,46.3452701,-94.2217133,Definitely want bdubs tonight and to watch my Miami heat win tonight but the bulls arent a bad team rose gonna play good tonight I bet #heat,630010709
395279860408795136,2013-10-29 20:03:57,41.81920895,-71.4748974,Ready for tonight. #BullsVsHeat #returnofdrose #NBAOpeningNight #gobulls,66225046
395279888787046401,2013-10-29 20:04:04,36.14210921,-79.75819853,#HeatNation 🔥🔥 not much to say,28204704
395280040675799040,2013-10-29 20:04:40,25.8331109,-80.20348035,#LETS GO HEAT #ON THE ROAD TO A THREE PEAT#HEATNATION http://t.co/3XgU3R07Gd,608594998
395280186335584256,2013-10-29 20:05:15,30.31341518,-97.65588226,Game Night. #Heat 🏀🔥💯👌,391573919
395280231537573888,2013-10-29 20:05:25,30.68328084,-88.04908337,Game come on tonight Bulls vs. Heat #BullsNation,419982720
395280298025713664,2013-10-29 20:05:41,33.7136133,-84.5065264,#Heat!!!  Just so yall know!!!,44925961
395280427805839361,2013-10-29 20:06:12,25.75861248,-80.37186313,Can't wait till tip off at 8😁💯🏀🏀🏀🔥🔥🔥🔥🔥🔥🔥 #3peat #bronisback #heatnation,346445434
395280542934904832,2013-10-29 20:06:40,38.69079791,-90.23833715,“@_xPrettyXxx: Im gone flood yall tl with #HeatNation . IDC !” Hell no 😡,468590814
395280557476544512,2013-10-29 20:06:43,41.74518756,-87.7239934,Tonight's game means nothing  what will matter is when the bulls meet the heat in the playoffs in a 7 game series. #Bulls,1097000743
395280584995782656,2013-10-29 20:06:50,28.861827,-81.6829477,The return of WHO ??? #HeatGang http://t.co/ZimzHkCBco,96564989
395280692340203520,2013-10-29 20:07:15,34.3932091,-118.51329954,I've been waiting months for this... #NBA #LALvsLAC #ChiVsMia,288336136
395280707037044737,2013-10-29 20:07:19,31.81606984,-81.65444814,#BullsMOTHERFUCKINGNation,615771712
395280913375825920,2013-10-29 20:08:08,29.64531214,-95.21624252,#BullsNation 🏀🙌,52787499
395280938885976064,2013-10-29 20:08:14,31.57168808,-85.25240463,It's basketball season y'all 🏀🔥 #Heat,345180983
395281065977192450,2013-10-29 20:08:44,42.98164896,-85.07726991,@oliviaharder_12 fuck the heat yo! Lebron cold but #BullsNation,521943717
395281160060030976,2013-10-29 20:09:07,35.14580499,-80.97005055,#HEATNATION #TeamLeBron @KingJames 🔥🔥🔥🔥🔥🔥 FUCK THE BULLS,299179258
395281263130460160,2013-10-29 20:09:31,40.74899994,-89.61979569,- Fuck the heat.. they aint shit. ♡ #BullsNation,529778242
395281260894896128,2013-10-29 20:09:31,29.65788472,-95.36697702,“@Bombfantasyyy: RT for #heatFave for #bulls.”quote for you to put some damn clothes on,169012939
395281391761772545,2013-10-29 20:10:02,35.2709924,-81.5252001,WELL today starts the #HeatWave,442125587
395281526922813440,2013-10-29 20:10:34,29.59335187,-98.61531612,It all starts today man. #BullsNation #DRose,87081338
395281528584142848,2013-10-29 20:10:35,25.75529547,-80.37141907,EL HEAT TIPOFF 8PM #HEATNATION,68774912
395281565388791808,2013-10-29 20:10:43,43.10154995,-79.0353499,“@janelleleaa26: That was kavon. Fuck all that. #HeatNation” aye 👏👏👏,612161573
395281625095094272,2013-10-29 20:10:58,42.95495495,-85.59848944,#BullsNation Always has been.,328841571
395281992687685632,2013-10-29 20:12:25,29.6388946,-98.30612194,“@krizzy_katee: “@TheRealBSmyth: #HeatNation” 😥” ooooh it's all over now. Biggest fan no more,518017962
395282053421600768,2013-10-29 20:12:40,34.83736997,-87.63178102,Eager to see how D Rose plays tonight. #BullsNation,378433232
395282161668194304,2013-10-29 20:13:05,35.48770861,-85.03388786,I know NBA cranks back up tonight also #HeatNation but don't forget about #SOAFX @10pmest. #SOAFX #SOAFX #SOAFX #SOAF #SOAFX!!!!!! #SOAFX,458845917
395282223437340672,2013-10-29 20:13:20,36.86712467,-89.56835231,Time for me to start bragging once again!!! #HeatNation #HEAT2013OpeningNight,1664494442
395282253393440768,2013-10-29 20:13:27,40.57761486,-74.50067935,So back in the day when mike jones rapped his number was it really his number or was it #bullshit,363333420
395282524211257344,2013-10-29 20:14:32,40.79557403,-73.93442598,🏀 🔥 🏀  🔥 🏀 🔥 🏀 🔥 🔥 🏀 🔥  🏀 🔥 🏀 🔥 🏀#TeamHeat #HeatNATION #PhuckYoTEAM #TurnUppTime @ Phuck yo TEAM http://t.co/kS95axSsT5,38504352
395282825794301952,2013-10-29 20:15:44,28.27959903,-81.44172704,#HeatNation !,496733838
395282858362671104,2013-10-29 20:15:52,42.03806187,-87.6801517,@wbeznews Correction: the #Bulls and #Heat are not "division rivals" (3pm newscast). They are in different divisions  same conference.,15671125
395282929410408448,2013-10-29 20:16:09,42.68662324,-73.82460128,Can't wait for my boy lebron to do work tonight 🙌🙌🙌 #heatnation,369752328
395283047513608193,2013-10-29 20:16:37,25.75497693,-80.37120037,Show respect for THE KING and back 2 back champs EL HEAT tonight. #3peat #HeatNation,68774912
